Sample1,Sample2,MedianPowerFrequencyDiff,PValue,Significance
1,1,0,1,0
1,2,-1.61493841643394,9.62466148202344e-08,1
1,3,-2.76842507937172,0.608141061095166,0
1,4,0.153932737666324,5.0844394575989e-15,1
1,5,-1.64220648694614,0.135980679352563,0
1,6,-1.45093146006273,3.41404019160338e-12,1
1,7,-0.258318210329058,6.23720927568268e-21,1
1,8,-2.54782454609146,4.36539235124922e-07,1
2,2,0,1,0
2,3,-1.15348666293778,4.7592514156381e-10,1
2,4,1.76887115410026,7.69560407991538e-38,1
2,5,-0.0272680705121999,8.562556541723e-05,1
2,6,0.164006956371203,0.0700573800412433,0
2,7,1.35662020610488,2.27444153954886e-05,1
2,8,-0.932886129657525,0.729592880606247,0
3,3,0,1,0
3,4,2.92235781703804,2.04681418496449e-14,1
3,5,1.12621859242558,0.0443378275145494,1
3,6,1.31749361930898,1.21641217375953e-15,1
3,7,2.51010686904266,8.54204235678092e-27,1
3,8,0.220600533280255,1.21059932873187e-09,1
4,4,0,1,0
4,5,-1.79613922461246,3.4168748127914e-22,1
4,6,-1.60486419772906,9.48139653384046e-47,1
4,7,-0.412250947995382,7.27702540125494e-64,1
4,8,-2.70175728375779,1.12619651918942e-38,1
5,5,0,1,0
5,6,0.191275026883403,2.09610863592083e-08,1
5,7,1.38388827661708,6.50282260338344e-16,1
5,8,-0.905618059145326,0.000166180709833441,1
6,6,0,1,0
6,7,1.19261324973368,0.0143298360075107,1
6,8,-1.09689308602873,0.0261453958175123,1
7,7,0,1,0
7,8,-2.2895063357624,2.75675655459196e-06,1
8,8,0,1,0
